#image,n_patches,2nd_largest_patch,patch_50+_pix,n_features,mean_patch_size,largest_patch
outputs/tmp_0344_median.npy,27,58,2,1602,5.36,278463
outputs/tmp_0345_median.npy,29,57,2,1822,3.74074074074,277649
outputs/tmp_0346_median.npy,33,29,1,2080,2.06451612903,276406
outputs/tmp_0347_median.npy,25,44,1,2089,3.5652173913,277609
outputs/tmp_0348_median.npy,28,27,1,1803,3.84615384615,278173
outputs/tmp_0349_median.npy,37,18,1,2278,2.05714285714,275100
outputs/tmp_0350_median.npy,24,62,2,1817,5.63636363636,277798
outputs/tmp_0351_median.npy,22,79,3,1654,11.55,277979
outputs/tmp_0352_median.npy,24,133,4,1621,17.2272727273,277597
outputs/tmp_0353_median.npy,25,159,3,1652,18.1304347826,277303
outputs/tmp_0354_median.npy,30,96,2,1816,6.82142857143,277090
outputs/tmp_0355_median.npy,24,193,2,1535,11.6363636364,278218
outputs/tmp_0356_median.npy,41,23,1,1381,3.20512820513,277487
outputs/tmp_0357_median.npy,25,284,3,1518,16.2173913043,277756
outputs/tmp_0358_median.npy,31,204,2,1763,9.24137931034,277185
outputs/tmp_0359_median.npy,28,137,3,1772,9.84615384615,277735
outputs/tmp_0360_median.npy,37,263,2,2115,9.0,275519
outputs/tmp_0361_median.npy,25,392,2,1657,18.7826086957,277582
outputs/tmp_0362_median.npy,24,278,2,1216,17.0454545455,278458
outputs/tmp_0363_median.npy,39,76,2,1820,4.56756756757,275810
outputs/tmp_0364_median.npy,43,52,2,2394,2.75609756098,274294
outputs/tmp_0365_median.npy,34,44,1,1726,4.65625,277650
outputs/tmp_0366_median.npy,28,531,2,1529,23.9230769231,277169
outputs/tmp_0367_median.npy,21,1054,2,653,60.3157894737,277905
outputs/tmp_0368_median.npy,36,76,3,1756,7.26470588235,276707
outputs/tmp_0369_median.npy,22,1138,3,470,71.05,276148
outputs/tmp_0370_median.npy,16,599,6,57,99.6428571429,276487
outputs/tmp_0371_median.npy,24,514,6,355,54.0909090909,276231
outputs/tmp_0372_median.npy,15,2068,6,31,234.384615385,271519
outputs/tmp_0373_median.npy,20,909,5,44,110.111111111,274993
outputs/tmp_0374_median.npy,27,649,6,60,73.04,273805
