image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,std_patch_size,mean_displ_X,mean_displ_Y,std_displ_X,std_displ_Y
outputs/tmp_0489_median.npy,34,513.0,11,166,22.487951807228917,79.909492322719615,1.3353535353535353,-0.44646464646464484,5.6889093723789985,266.31516125078707
outputs/tmp_0490_median.npy,32,595.0,11,298,11.120805369127517,51.979915164988817,0.73613445378151254,0.050640862405569149,3.2230032121663532,248.99215809250941
outputs/tmp_0491_median.npy,30,1142.0,15,208,20.139423076923077,97.00478172023395,1.0444444444444443,1.6879227053140058,5.9522008094115373,268.26868871394578
outputs/tmp_0492_median.npy,35,749.0,13,242,15.652892561983471,70.083092447501102,1.0968188105117567,0.53872752420470604,4.1740682180841322,220.36622349167635
outputs/tmp_0493_median.npy,32,707.0,9,286,11.783216783216783,60.575865842094558,0.76742847217052534,-0.36984540559319051,3.6580353995787895,333.18155301122505
outputs/tmp_0494_median.npy,32,603.0,13,219,15.365296803652969,63.0035432886202,1.0006020642201834,-0.15303899082568578,4.4877801007572113,259.65262568872026
outputs/tmp_0495_median.npy,24,1333.0,9,120,37.391666666666666,161.02216699538261,2.117647058823529,3.4033613445378141,9.5924004117617674,346.41200328360168
outputs/tmp_0496_median.npy,21,797.0,6,150,12.873333333333333,72.140538457159366,1.5167785234899329,0.82550335570469413,4.7188510836614599,310.1428186770039
outputs/tmp_0497_median.npy,20,1053.0,4,65,40.323076923076925,153.78367500558974,3.5390625,-3.2187500000000027,8.4748145052904693,295.47068197621576
outputs/tmp_0498_median.npy,16,1689.0,5,72,37.833333333333336,203.7117380570453,3.0760563380281689,-1.8197183098591556,14.576403118194573,158.48457858372581
outputs/tmp_0499_median.npy,23,438.0,8,305,5.9967213114754099,29.949848611856996,0.75,1.1726973684210531,1.8599457601183602,367.53752406920142
